"","ICC","ICCk","sigma2_b","sigma2_w","var.data","error.message"
"IFJp_L",0.506930018898994,0.672798354988471,0.00954307166241982,0.0092821533324355,0.0227426208255629,0
"IFSp_L",0.366582868929074,0.536495630471861,0.00490262218620959,0.00847122204315112,0.019116516993357,0
"IFSa_L",0.486081121613982,0.654178449001581,0.0114971936462796,0.0121556353467584,0.0389803240249188,0
"p9.46v_L",0.612244446230492,0.759493323313286,0.0178775189531977,0.0113224502147828,0.0330811684339056,0
"X46_L",0.631961775054645,0.774481099636643,0.0162471212284836,0.00946190401608716,0.0327644287461484,0
"a9.46v_L",0.661993659760767,0.796625974922259,0.018098135389856,0.00924069954157876,0.0318754092244359,0
"X9.46d_L",0.708640828287568,0.829478983008713,0.0250411910385184,0.010295738529921,0.0373254678064388,0
"X9a_L",0.546432329538052,0.706700602542733,0.0084085260991775,0.00697952040657369,0.0156951830891448,0
"X10v_L",0.479353226447166,0.648057837543488,0.00722904344404605,0.00785178431552851,0.0196380965877926,0
"a10p_L",0.640809497904928,0.781089454593172,0.0211895351140131,0.011877289243757,0.0332719376213189,0
"X10pp_L",0.108566129040233,0.195867663996242,0.00166942983317291,0.0137076481554347,0.0169279713872604,0
"X11l_L",0.399535423312145,0.570954356220013,0.00757274340903595,0.0113811289316391,0.0247967413557326,0
"X13l_L",0,0,0,0.0122556959241409,0.0245026756860791,0
"OFC_L",0.416575727223038,0.588144663525564,0.00620137005786467,0.00868516713719473,0.0165848377564433,0
"X47s_L",0.516128445853629,0.680850553612602,0.00779034682990173,0.00730346730199952,0.0195204535305338,0
"LIPd_L",0.555355803835391,0.714120592170519,0.0132800356768785,0.010632626413198,0.0311582855986217,0
"X6a_L",0.496246861959382,0.663322175739813,0.0088678497821706,0.00900198570083227,0.026981627787497,0
"i6.8_L",0.557383384497255,0.715794697754768,0.0144253909953546,0.0114551633888883,0.0271374302873728,0
"s6.8_L",0.583509022794971,0.736982251942018,0.0131918988001606,0.00941597577386441,0.0231116862200634,0
"X43_L",0.247750281222157,0.397115167915632,0.00375354095446088,0.0113969603323372,0.0263977205392618,0
"OP4_L",0.235708654642584,0.381495514751024,0.00590018210258843,0.0191314914756905,0.0326272654326837,0
"OP1_L",0.132065020463767,0.233317023450941,0.00284446798087562,0.0186939225095572,0.0274620494069992,0
"OP2.3_L",0.244696682914017,0.393182831243908,0.00431629041170162,0.0133230594981552,0.024032120409453,0
"X52_L",0.3900179214179,0.561169630129745,0.0060277986826495,0.00942738517335279,0.0219144346207091,0
"RI_L",0.252873256380995,0.403669333818228,0.00467406420540302,0.0138097575806414,0.028217910876114,0
"PFcm_L",0.18780078493717,0.316215963684691,0.00322211050055298,0.0139349557046334,0.026038210518781,0
"PoI2_L",0.272373730489029,0.428134790843794,0.00498577175931511,0.0133191203841507,0.030922458849647,0
"TA2_L",0,0,0,0.0160859139063773,0.0281221166299707,0
"FOP4_L",0.457613591238366,0.627894243013451,0.0094688762284408,0.0112229834753252,0.0296043688948929,0
"MI_L",0.206687628288746,0.342570228521955,0.00431809164256863,0.0165737811720741,0.0320697460359965,0
"Pir_L",0.151858248534873,0.263675237344581,0.00205162821789219,0.0114585250841924,0.0226948959041818,0
"AVI_L",0.240460607242916,0.387695676652515,0.00452499461446479,0.0142930341111035,0.0245869858452371,0
"AAIC_L",0.340991220534006,0.508565925432707,0.0074020971975855,0.0143054915960307,0.0263393260248151,0
"FOP1_L",0.325507663290076,0.491144143945762,0.00463040659239653,0.00959477798726772,0.0246944555990161,0
"FOP3_L",0.244053474463126,0.392352064397309,0.00314244853623338,0.00973361701926098,0.0258853623636582,0
"FOP2_L",0.0654235827573027,0.122812342088369,0.00117933220433488,0.0168467702289386,0.0318772557973425,0
"PFt_L",0.156921910233525,0.271274852426039,0.00257472511591573,0.0138329588848979,0.0308966461426852,0
"AIP_L",0.379197288896454,0.549881140209989,0.00591065422022504,0.00967662552385309,0.0278717624529391,0
"EC_L",0.141662695890842,0.24816908952307,0.00189932030290357,0.0115080223356065,0.0159714731694857,0
"PreS_L",0,0,0,0.0124507184688944,0.0179067757361172,0
"H_L",0.421889115543257,0.593420557104507,0.00655244991100143,0.00897876355148382,0.0175928128443902,0
"ProS_L",0.227783935133154,0.3710488932378,0.00326093390321702,0.0110549742898292,0.0231340716459956,0
"PeEc_L",0.0226271714890704,0.0442530222546747,0.000341719244657736,0.0147604443122321,0.0193788355893236,0
"STGa_L",0.261253113832006,0.414275470905682,0.00417797931299184,0.01181409539077,0.0263130436275338,0
"PBelt_L",0.0295190582458057,0.0573453361729955,0.000556531215674248,0.0182967537041901,0.0268698571040125,0
