delta.sigma2_w,delta.sigma2_b,delta.theta,delta.sigma2_w_norm,delta.sigma2_b_norm,delta.theta_norm,parcel,contrast,comp
-3.17593702461415,-0.21964307657657,3.21064122081244,-3.0142522930626,-1.02425689119961,3.46915602624414,14,30min_10min_cpac_default_all,30min_10min
-5.1031007371468,-0.0357253651654101,3.14859325643673,-4.83156785805894,-1.64282240919589,3.46934773464549,15,30min_10min_cpac_default_all,30min_10min
-5.28020419865582,-0.90812194440768,3.31191252896885,-4.72786578978347,-2.52042197245074,3.63136776110146,16,30min_10min_cpac_default_all,30min_10min
-5.11705201878844,-0.70910009106073,3.27929159902809,-4.76865669886475,-1.98669514281924,3.53633996899675,17,30min_10min_cpac_default_all,30min_10min
-3.92952435216109,-0.60331284028675,3.29393634716144,-3.71582507769818,-1.41343270424566,3.50507335697385,18,30min_10min_cpac_default_all,30min_10min
-4.45662616105962,-0.6774413664957,3.29244551368325,-4.20132045127011,-1.63381455808795,3.51247726757854,19,30min_10min_cpac_default_all,30min_10min
-5.0985992054203,-0.22117075533922,3.18494420489549,-4.62138129421309,-2.16505549444516,3.57971329205143,20,30min_10min_cpac_default_all,30min_10min
-5.09493513926933,0.04779690175496,3.13221167064251,-4.64915300513652,-2.08471219884395,3.56312095119639,21,30min_10min_cpac_default_all,30min_10min
-5.18420054740203,-1.462258470087,3.41651108224891,-4.68054721898901,-2.66582311488195,3.65932428245063,22,30min_10min_cpac_default_all,30min_10min
-5.05475002080061,-1.08303209801196,3.35266165828832,-4.63304034220917,-2.29311872470011,3.60119131115462,23,30min_10min_cpac_default_all,30min_10min
-3.18671199886623,-0.66272039192904,3.34663375119856,-2.96825862290202,-1.33557943573732,3.56440821204735,24,30min_10min_cpac_default_all,30min_10min
-4.94796723162534,-1.21278105124001,3.38196079759003,-4.30103289815231,-2.73026255376594,3.70720265124927,25,30min_10min_cpac_default_all,30min_10min
-3.7564178801149,-1.25952563773831,3.46511185675124,-3.34805470933718,-2.11839792896711,3.705727751412,26,30min_10min_cpac_default_all,30min_10min
-3.81626351708917,-0.97360520377009,3.39138431840456,-3.42514612261456,-1.94426036410056,3.65788040765813,27,30min_10min_cpac_default_all,30min_10min
-3.96738253573416,-1.80167655148234,3.56786932515511,-3.59248446675109,-2.46580979338671,3.74311912923447,28,30min_10min_cpac_default_all,30min_10min
